date,timeblood sugar
2018-1-1,8:0,80
2018-1-1,8:1,80.63333333333334
2018-1-1,8:2,81.26666666666668
2018-1-1,8:3,81.90000000000002
2018-1-1,8:4,82.53333333333336
2018-1-1,8:5,83.1666666666667
2018-1-1,8:6,83.80000000000004
2018-1-1,8:7,84.43333333333338
2018-1-1,8:8,85.06666666666672
2018-1-1,8:9,85.70000000000006
2018-1-1,8:10,86.3333333333334
2018-1-1,8:11,87.30833333333341
2018-1-1,8:12,88.28333333333342
2018-1-1,8:13,89.25833333333343
2018-1-1,8:14,90.23333333333343
2018-1-1,8:15,91.20833333333344
2018-1-1,8:16,92.18333333333345
2018-1-1,8:17,93.15833333333346
2018-1-1,8:18,94.13333333333347
2018-1-1,8:19,95.10833333333348
2018-1-1,8:20,96.08333333333348
2018-1-1,8:21,97.0583333333335
2018-1-1,8:22,98.0333333333335
2018-1-1,8:23,99.00833333333351
2018-1-1,8:24,99.98333333333352
2018-1-1,8:25,100.95833333333353
2018-1-1,8:26,101.93333333333354
2018-1-1,8:27,102.90833333333354
2018-1-1,8:28,103.88333333333355
2018-1-1,8:29,104.85833333333356
2018-1-1,8:30,105.83333333333357
2018-1-1,8:31,107.08333333333358
2018-1-1,8:32,108.3333333333336
2018-1-1,8:33,109.58333333333361
2018-1-1,8:34,110.83333333333363
2018-1-1,8:35,112.08333333333364
2018-1-1,8:36,113.33333333333366
2018-1-1,8:37,114.58333333333367
2018-1-1,8:38,115.83333333333368
2018-1-1,8:39,117.0833333333337
2018-1-1,8:40,118.33333333333371
2018-1-1,8:41,119.58333333333373
2018-1-1,8:42,120.83333333333374
2018-1-1,8:43,122.08333333333375
2018-1-1,8:44,123.33333333333377
2018-1-1,8:45,124.58333333333378
2018-1-1,8:46,125.8333333333338
2018-1-1,8:47,127.08333333333381
2018-1-1,8:48,128.33333333333383
2018-1-1,8:49,129.58333333333383
2018-1-1,8:50,130.83333333333383
2018-1-1,8:51,132.08333333333383
2018-1-1,8:52,133.33333333333383
2018-1-1,8:53,134.58333333333383
2018-1-1,8:54,135.83333333333383
2018-1-1,8:55,137.08333333333383
2018-1-1,8:56,138.33333333333383
2018-1-1,8:57,139.58333333333383
2018-1-1,8:58,140.83333333333383
2018-1-1,8:59,142.08333333333383
2018-1-1,9:0,143.33333333333383
2018-1-1,9:1,143.91666666666717
2018-1-1,9:2,144.5000000000005
2018-1-1,9:3,145.08333333333385
2018-1-1,9:4,145.6666666666672
2018-1-1,9:5,146.25000000000054
2018-1-1,9:6,146.83333333333388
2018-1-1,9:7,147.41666666666723
2018-1-1,9:8,148.00000000000057
2018-1-1,9:9,148.5833333333339
2018-1-1,9:10,149.16666666666725
2018-1-1,9:11,149.7500000000006
2018-1-1,9:12,150.33333333333394
2018-1-1,9:13,150.91666666666728
2018-1-1,9:14,151.50000000000063
2018-1-1,9:15,152.08333333333397
2018-1-1,9:16,152.6666666666673
2018-1-1,9:17,153.25000000000065
2018-1-1,9:18,153.833333333334
2018-1-1,9:19,154.41666666666734
2018-1-1,9:20,155.00000000000068
2018-1-1,9:21,155.58333333333402
2018-1-1,9:22,156.16666666666737
2018-1-1,9:23,156.7500000000007
2018-1-1,9:24,157.33333333333405
2018-1-1,9:25,157.9166666666674
2018-1-1,9:26,158.50000000000074
2018-1-1,9:27,159.08333333333408
2018-1-1,9:28,159.66666666666742
2018-1-1,9:29,160.25000000000077
2018-1-1,9:30,160.8333333333341
2018-1-1,9:31,161.41666666666745
2018-1-1,9:32,162.0000000000008
2018-1-1,9:33,162.58333333333414
2018-1-1,9:34,163.16666666666748
2018-1-1,9:35,163.75000000000082
2018-1-1,9:36,164.33333333333417
2018-1-1,9:37,164.9166666666675
2018-1-1,9:38,165.50000000000085
2018-1-1,9:39,166.0833333333342
2018-1-1,9:40,166.66666666666754
2018-1-1,9:41,167.25000000000088
2018-1-1,9:42,167.83333333333422
2018-1-1,9:43,168.41666666666757
2018-1-1,9:44,169.0000000000009
2018-1-1,9:45,169.58333333333425
2018-1-1,9:46,170.1666666666676
2018-1-1,9:47,170.75000000000094
2018-1-1,9:48,171.33333333333428
2018-1-1,9:49,171.91666666666762
2018-1-1,9:50,172.50000000000097
2018-1-1,9:51,173.0833333333343
2018-1-1,9:52,173.66666666666765
2018-1-1,9:53,174.250000000001
2018-1-1,9:54,174.83333333333434
2018-1-1,9:55,175.41666666666768
2018-1-1,9:56,176.00000000000102
2018-1-1,9:57,176.58333333333437
2018-1-1,9:58,177.1666666666677
2018-1-1,9:59,177.75000000000105
2018-1-1,10:0,178.3333333333344
2018-1-1,10:1,179.74166666666773
2018-1-1,10:2,181.15000000000106
2018-1-1,10:3,182.5583333333344
2018-1-1,10:4,183.96666666666772
2018-1-1,10:5,185.37500000000105
2018-1-1,10:6,186.78333333333438
2018-1-1,10:7,188.19166666666771
2018-1-1,10:8,189.60000000000105
2018-1-1,10:9,191.00833333333438
2018-1-1,10:10,192.4166666666677
2018-1-1,10:11,193.48333333333437
2018-1-1,10:12,194.55000000000103
2018-1-1,10:13,195.6166666666677
2018-1-1,10:14,196.68333333333436
2018-1-1,10:15,197.75000000000102
2018-1-1,10:16,198.8166666666677
2018-1-1,10:17,199.88333333333435
2018-1-1,10:18,200.950000000001
2018-1-1,10:19,202.01666666666767
2018-1-1,10:20,203.08333333333434
2018-1-1,10:21,204.150000000001
2018-1-1,10:22,205.21666666666766
2018-1-1,10:23,206.28333333333433
2018-1-1,10:24,207.350000000001
2018-1-1,10:25,208.41666666666765
2018-1-1,10:26,209.48333333333431
2018-1-1,10:27,210.55000000000098
2018-1-1,10:28,211.61666666666764
2018-1-1,10:29,212.6833333333343
2018-1-1,10:30,213.75000000000097
