date,time,glycation
2018-1-1,8:0,0
2018-1-1,8:1,0
2018-1-1,8:2,0
2018-1-1,8:3,0
2018-1-1,8:4,0
2018-1-1,8:5,0
2018-1-1,8:6,0
2018-1-1,8:7,0
2018-1-1,8:8,0
2018-1-1,8:9,0
2018-1-1,8:10,0
2018-1-1,8:11,0
2018-1-1,8:12,0
2018-1-1,8:13,0
2018-1-1,8:14,0
2018-1-1,8:15,0
2018-1-1,8:16,0
2018-1-1,8:17,0
2018-1-1,8:18,0
2018-1-1,8:19,0
2018-1-1,8:20,0
2018-1-1,8:21,0
2018-1-1,8:22,0
2018-1-1,8:23,0
2018-1-1,8:24,0
2018-1-1,8:25,0
2018-1-1,8:26,0
2018-1-1,8:27,0
2018-1-1,8:28,0
2018-1-1,8:29,0
2018-1-1,8:30,0
2018-1-1,8:31,0
2018-1-1,8:32,0
2018-1-1,8:33,0
2018-1-1,8:34,0
2018-1-1,8:35,0
2018-1-1,8:36,0
2018-1-1,8:37,0
2018-1-1,8:38,0
2018-1-1,8:39,0
2018-1-1,8:40,0
2018-1-1,8:41,0
2018-1-1,8:42,0
2018-1-1,8:43,0
2018-1-1,8:44,0
2018-1-1,8:45,0
2018-1-1,8:46,0
2018-1-1,8:47,0
2018-1-1,8:48,0
2018-1-1,8:49,0
2018-1-1,8:50,0
2018-1-1,8:51,0
2018-1-1,8:52,0
2018-1-1,8:53,0
2018-1-1,8:54,0
2018-1-1,8:55,0
2018-1-1,8:56,0
2018-1-1,8:57,0
2018-1-1,8:58,0
2018-1-1,8:59,0
2018-1-1,9:0,0
2018-1-1,9:1,0
2018-1-1,9:2,0
2018-1-1,9:3,0
2018-1-1,9:4,0
2018-1-1,9:5,0
2018-1-1,9:6,0
2018-1-1,9:7,0
2018-1-1,9:8,0
2018-1-1,9:9,0
2018-1-1,9:10,0
2018-1-1,9:11,0
2018-1-1,9:12,1
2018-1-1,9:13,2
2018-1-1,9:14,3
2018-1-1,9:15,4
2018-1-1,9:16,5
2018-1-1,9:17,6
2018-1-1,9:18,7
2018-1-1,9:19,8
2018-1-1,9:20,9
2018-1-1,9:21,10
2018-1-1,9:22,11
2018-1-1,9:23,12
2018-1-1,9:24,13
2018-1-1,9:25,14
2018-1-1,9:26,15
2018-1-1,9:27,16
2018-1-1,9:28,17
2018-1-1,9:29,18
2018-1-1,9:30,19
2018-1-1,9:31,20
2018-1-1,9:32,21
2018-1-1,9:33,22
2018-1-1,9:34,23
2018-1-1,9:35,24
